product_id,brand,category,model_name,color,material,list_price,standard_cost,is_active
PROD101,PeakMotion,Bike Light,Grip-20,White,Plastic,2728.32,1995.15,N
PROD102,VeloCraft,Gloves,AirFlow-18,Red,Synthetic,765.04,517.05,Y
PROD103,VeloCraft,Road Bike,Pulse-820,Gray,Aluminum,2794.55,1666.71,Y
PROD104,TrailBlaze,Mountain Bike,Apex-400,Blue,Carbon,1158.63,686.06,N
PROD105,UrbanWheel,Hybrid Bike,Apex-724,Blue,Aluminum,2789.01,1825.42,N
PROD106,UrbanWheel,Hybrid Bike,Pulse-360,Green,Steel,1480.35,991.92,Y
PROD107,trailblaze,Hybrid Bike,Sprint-701,Gray,Steel,969.91,744.38,Y
PROD108,PeakMotion,Bike Pump,Hydro-71,red,Aluminum,357.37,205.79,Y
PROD109,TrailBlaze,Bike Light,Lumen-11,Gray,PLASTIC,1818.79,1230.07,Y
PROD110,PeakMotion, Bike Pump,AirFlow-55,Red,Aluminum,714.87,366.54,Y
PROD111,TrailBlaze,Road Bike,Glide-134,Black,Carbon,1862.20,1288.04,Y
PROD112,VeloCraft,Gloves,Flex-26,Red,Synthetic,2520.68,1863.37,Y
PROD113,PeakMotion,Hybrid Bike,Sprint-864,Green,Steel,2787.60,1994.24,Y
PROD114,urbanwheel,Hybrid Bike,Ridge-474,Red,Steel,305.34,177.16,Y
PROD115,PeakMotion,Bike Pump,AirFlow-58,Black,Steel,2634.93,2003.33,Yes
PROD116,TrailBlaze,Bike Pump,AirFlow-38,green,Steel,2078.83,1371.37,Y
PROD117,TrailBlaze,Water Bottle,Core-14,Black,BPA-Free Plastic,986.49,604.29,Y
PROD118,VeloCraft,Hybrid Bike,Sprint-786,White,STEEL,3038.93,2065.99,N
PROD119,VeloCraft,Hybrid Bike,Glide-730,Black,Aluminum,1316.62,1005.90,Y
PROD120,VeloCraft, Helmet,Flex-56,White,Polycarbonate,334.15,225.98,Y
PROD121,velocraft,Mountain Bike,Terra-225,Black,Carbon,3037.75,2193.20,Y
PROD122,TrailBlaze,Mountain Bike,Terra-228,White,Carbon,2522.16,1305.77,Y
PROD123,UrbanWheel,Helmet,Flex-86,Blue,Polycarbonate,27.02,19.81,Y
PROD124,UrbanWheel,Bike Light,Grip-13,blue,Plastic,437.40,248.54,Y
PROD125,UrbanWheel,Mountain Bike,Apex-229,Gray,Carbon,2378.15,1483.03,Y
PROD126,VeloCraft,Bike Pump,AirFlow-85,White,Steel,365.01,224.94,Y
PROD127,VeloCraft,Bike Light,Core-71,Black,PLASTIC,2714.10,1603.14,N
PROD128,trailblaze,Bike Pump,Lumen-87,White,Aluminum,490.00,240.91,Y
PROD129,SummitRide,Water Bottle,Hydro-74,Gray,BPA-Free Plastic,1944.47,938.65,Y
PROD130,VeloCraft, Helmet,Flex-62,Green,Polycarbonate,1096.48,657.51,Yes
PROD131,VeloCraft,Gloves,Grip-42,Green,Synthetic,1209.03,604.96,Y
PROD132,TrailBlaze,Road Bike,Glide-198,blue,Aluminum,2387.28,1367.85,Y
PROD133,TrailBlaze,Gloves,Lumen-95,Gray,Synthetic,3012.68,1776.18,Y
PROD134,SummitRide,Bike Light,Lumen-23,Gray,Plastic,1856.94,965.99,N
PROD135,trailblaze,Helmet,AirFlow-57,Blue,Polycarbonate,383.57,207.87,N
